municipio_distrito;latitude;longitude;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;poblacion_distrito;tasa_incidencia_acumulada_total;codigo_geometria
Chinchón;;;22/06/2021 12:07;;;;55,42;503;;9292,44;528
Cadalso de los Vidrios;;;22/06/2021 12:07;;;;98,46;293;;9616,02;318
Hoyo de Manzanares;;;22/06/2021 12:07;;;;46,9;819;;9602,53;724
Torrejón de la Calzada;;;22/06/2021 12:07;;;10;108,77;885;;9625,84;1492
Estremera;;;22/06/2021 12:07;;;;0;146;;10944,53;552
Corpa;;;22/06/2021 12:07;;;;0;40;;5532,5;480
Meco;;;22/06/2021 12:07;;;14;95,43;1033;;7041,58;838
Madarcos;;;22/06/2021 12:07;;;;0;6;;12244,9;783
Zarzalejo;;;22/06/2021 12:07;;;;0;132;;7612,46;1837
Arganda del Rey;;;22/06/2021 12:07;;;57;100,57;5578;;9841,56;148
Collado Mediano;;;22/06/2021 12:07;;;;28,15;580;;8163,27;468
Daganzo de Arriba;;;22/06/2021 12:07;;;;38,7;873;;8445,39;534
Manzanares El Real;;;22/06/2021 12:07;;;13;145,48;780;;8728,74;822
